club_name,instagram_followers,twitter_followers,youtube_subscribers
北海道コンサドーレ札幌,111178,151901,58600
ベガルタ仙台,50789,61728,30000
ブラウブリッツ秋田,13237,30372,5850
モンテディオ山形,33341,105630,16600
いわきFC,32527,40651,13500
水戸ホーリーホック,23883,83056,9090
RB大宮アルディージャ,46681,95908,19700
ジェフユナイテッド千葉,42784,88834,21900
ヴァンフォーレ甲府,33926,78959,17800
カターレ富山,13798,36167,7000
ジュビロ磐田,75217,167523,46800
藤枝MYFC,15606,26368,3920
レノファ山口FC,29496,50039,18200
徳島ヴォルティス,36924,39085,13300
愛媛FC,16061,38241,9220
FC今治,16814,29693,8180
サガン鳥栖,65842,128686,5310
V・ファーレン長崎,53195,103619,36400
ロアッソ熊本,28111,68422,9200
大分トリニータ,41684,60732,20100
