    club_name,instagram_followers,twitter_followers,youtube_subscribers
ヴァンラーレ八戸,11588,19345,2360
福島ユナイテッドFC,11919,21975,3790
栃木SC,21441,41667,9720
栃木シティ,15731,18900,5950
ザスパ群馬,17780,30286,7160
SC相模原,13901,35669,5710
松本山雅FC,35452,98478,19800
AC長野パルセイロ,12461,32839,5510
ツエーゲン金沢,18379,42466,7860
アスルクラロ沼津,13001,26712,2750
FC岐阜,20972,48012,10800
FC大阪,12629,24652,3940
奈良クラブ,11219,24508,3900
ガイナーレ鳥取,12934,31203,4820
カマタマーレ讃岐,16676,32639,4730
高知ユナイテッドSC,9913,15065,3230
ギラヴァンツ北九州,20766,41094,7000
テゲバジャーロ宮崎,5098,17829,4350
鹿児島ユナイテッドFC,25530,42017,16400
FC琉球,21525,35523,6880
