club_name,average_point,strength_short_term
鹿島アントラーズ,2.6,0.867
京都サンガF.C.,1.2,0.4
柏レイソル,1.4,0.467
ヴィッセル神戸,2.0,0.667
サンフレッチェ広島,1.8,0.6
ＦＣ町田ゼルビア,1.0,0.333
川崎フロンターレ,1.6,0.533
浦和レッズ,1.0,0.333
ガンバ大阪,2.6,0.867
セレッソ大阪,0.8,0.267
清水エスパルス,1.6,0.533
ファジアーノ岡山,0.4,0.133
ＦＣ東京,2.0,0.667
アビスパ福岡,0.6,0.2
名古屋グランパス,2.0,0.667
東京ヴェルディ,1.4,0.467
横浜Ｆ・マリノス,1.2,0.4
横浜ＦＣ,1.6,0.533
湘南ベルマーレ,0.0,0.0
アルビレックス新潟,0.4,0.133
水戸ホーリーホック,1.8,0.6
Ｖ・ファーレン長崎,2.2,0.733
ジェフユナイテッド千葉,1.4,0.467
徳島ヴォルティス,1.4,0.467
ベガルタ仙台,1.6,0.533
ＲＢ大宮アルディージャ,1.2,0.4
サガン鳥栖,2.0,0.667
ジュビロ磐田,1.4,0.467
ＦＣ今治,0.8,0.267
いわきＦＣ,2.0,0.667
北海道コンサドーレ札幌,1.2,0.4
ヴァンフォーレ甲府,0.8,0.267
モンテディオ山形,2.4,0.8
ブラウブリッツ秋田,1.4,0.467
藤枝ＭＹＦＣ,0.8,0.267
ロアッソ熊本,1.4,0.467
大分トリニータ,1.2,0.4
カターレ富山,0.8,0.267
レノファ山口ＦＣ,0.8,0.267
愛媛ＦＣ,0.8,0.267
ヴァンラーレ八戸,2.4,0.8
栃木シティ,2.4,0.8
鹿児島ユナイテッドＦＣ,1.4,0.467
ＦＣ大阪,2.0,0.667
テゲバジャーロ宮崎,1.8,0.6
奈良クラブ,0.8,0.267
栃木ＳＣ,2.0,0.667
ツエーゲン金沢,2.4,0.8
ギラヴァンツ北九州,2.0,0.667
ＦＣ岐阜,3.0,1.0
福島ユナイテッドＦＣ,1.2,0.4
ガイナーレ鳥取,1.4,0.467
ＳＣ相模原,0.2,0.067
松本山雅ＦＣ,1.0,0.333
ＦＣ琉球,0.6,0.2
高知ユナイテッドＳＣ,0.6,0.2
ＡＣ長野パルセイロ,1.4,0.467
ザスパ群馬,0.2,0.067
カマタマーレ讃岐,0.6,0.2
アスルクラロ沼津,1.2,0.4
