# "https://data.j-league.or.jp/SFTD11/"の入場者記録の取得に必要なクラブ名とIDの対応関係
short_club_name,club_name,team_ids,division
鹿島,鹿島アントラーズ,1,1
千葉,ジェフユナイテッド千葉,2,2
浦和,浦和レッズ,3,1
東京Ｖ,東京ヴェルディ,4,1
横浜FM,横浜F・マリノス,5,1
清水,清水エスパルス,7,1
名古屋,名古屋グランパス,8,1
Ｇ大阪,ガンバ大阪,9,1
広島,サンフレッチェ広島,10,1
柏,柏レイソル,11,1
湘南,湘南ベルマーレ,12,1
磐田,ジュビロ磐田,13,2
札幌,北海道コンサドーレ札幌,14,2
神戸,ヴィッセル神戸,18,1
Ｃ大阪,セレッソ大阪,20,1
川崎Ｆ,川崎フロンターレ,21,1
FC東京,FC東京,22,1
福岡,アビスパ福岡,23,1
京都,京都サンガF.C.,24,1
大宮,大宮アルディージャ,27,2
甲府,ヴァンフォーレ甲府,28,2
山形,モンテディオ山形,29,2
大分,大分トリニータ,31,2
鳥栖,サガン鳥栖,33,2
横浜FC,横浜FC,34,1
群馬,ザスパ群馬,35,3
徳島,徳島ヴォルティス,36,2
愛媛,愛媛FC,37,2
熊本,ロアッソ熊本,38,2
岐阜,FC岐阜,39,3
栃木SC,栃木SC,40,3
富山,カターレ富山,41,2
岡山,ファジアーノ岡山,42,1
北九州,ギラヴァンツ北九州,43,3
鳥取,ガイナーレ鳥取,44,3
町田,FC町田ゼルビア,45,1
松本,松本山雅FC,46,3
長崎,V・ファーレン長崎,47,2
讃岐,カマタマーレ讃岐,48,3
仙台,ベガルタ仙台,54,2
新潟,アルビレックス新潟,78,1
水戸,水戸ホーリーホック,94,2
秋田,ブラウブリッツ秋田,270,2
福島,福島ユナイテッドFC,271,3
相模原,SC相模原,273,3
長野,AC長野パルセイロ,274,3
金沢,ツエーゲン金沢,275,3
藤枝,藤枝MYFC,276,2
琉球,FC琉球,277,3
山口,レノファ山口FC,330,2
鹿児島,鹿児島ユナイテッドFC,338,3
沼津,アスルクラロ沼津,347,3
八戸,ヴァンラーレ八戸,362,3
今治,FC今治,369,2
宮崎,テゲバジャーロ宮崎,371,3
いわき,いわきFC,386,2
FC大阪,FC大阪,390,3
奈良,奈良クラブ,391,3
高知,高知ユナイテッドSC,468,3
栃木Ｃ,栃木シティ,471,3
